#DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
07/06/2013;07/06/2013;CAMPING;1 étoile;Loisirs;-;CAMPING LES MARAIS DE L'ANCRE;rue du marais;80800;RIBEMONT-SUR-ANCRE;322406163;mairieribemont-sur-ancre@wanadoo.fr;-;-;-;-;30;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Loisirs;-;CAMPING LE RIO;23 rue Maréchal foch;80860;NOYELLES-SUR-MER;322232838;camping.rio@free.fr;www.camping-lerio.fr;-;-;-;265;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING LA BERGERIE;4231 route de Giens;83400;HYÈRES;494589175;info@camping-de-la-bergerie.com;www.camping-de-la-bergerie.com;-;-;-;55;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING EUROPA;6 rue guillaumet;83600;FRÉJUS;494532038;contact@residence-europa.com;http://www.residence-europa.com/;-;-;-;7;-;-
07/06/2013;07/06/2013;CAMPING;4 étoiles;Tourisme;-;CAMPING LE VAL DE DURANCE;les routes;84160;CADENET;490683775;valdedurance@homair.com;http://www.provencecamping.fr/;-;-;-;255;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING LES HAUTES PRAIRIES;route de vaugines;84160;LOURMARIN;490680289;leshautesprairies@wanadoo.fr;http://www.campinghautesprairies.com/;-;-;-;164;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING MUNICIPAL VIVONNE;CHEMIN DES PRAIRES;86370;VIVONNE;549432595;y.roussel-montigny@orange.fr;vivonne-camping-roussel-montigny.com;-;-;-;75;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;L'ECRIN NATURE;JONAS;87240;AMBAZAC;652927165;contact@campinglecrinature.com;www.campinglecrinature.com;-;-;-;75;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING LES TREXONS;36 Les Trexons;88430;GERBÉPAL;329507492;info@camping-lestrexons.com;http://www.camping-lestrexons.com;-;-;-;45;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;LE BOIS DES PÊCHEURS;route de Forges-les-Eaux;80290;POIX-DE-PICARDIE;322901171;camping@ville-poix-de-picardie.fr;http://www.ville-poix-de-picardie.fr/;-;-;-;88;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Loisirs;-;CAMPING LE BROCHET;Rue Georges Clémenceau;80200;PÉRONNE;322840235;camping@ville-peronne.fr;http://www.ville-peronne.fr/;-;-;-;39;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING DE LA BASE DE LOISIRS DE JUMIÈGES;4 route du Manoir;76480;LE MESNIL-SOUS-JUMIÈGES;235379384;baseloisirsjumieges@vert-marine.com;www.basedejumieges.com;-;-;-;115;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING LE RECLUS;route de tignes;73700;SÉEZ;479410105;contact@campinglereclus.com;http://www.campinglereclus.com;-;-;-;75;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING LE GRAND TÉTRAS;1634 route de Mont Bisanne;73620;LES SAISIES;479389517;legrandtetras@orange.fr;http://legrandtetras.fr;-;-;-;45;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING LE CURTELET;camping le curtelet;73610;LÉPIN-LE-LAC;479441122;lecurtelet@orange.fr;http://www.camping-le-curtelet.com;-;-;-;91;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING DU VIEUX MOULIN;chemin des bergivaux;72340;LA CHARTRE-SUR-LE-LOIR;243444118;bordduloir@orange.fr;www.le-vieux-moulin.com;-;-;-;82;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING AU BORD DE BRUCHE;11 rue Pierre Marchal;67570;ROTHAU;369062802;camping@au-bord-de-bruche.fr;www.au-bord-de-bruche.fr;-;-;-;39;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING MAS LLINAS;CHEMIN DU MAS LLINAS;66160;LE BOULOU;468832546;info@camping-mas-llinas.com;http://www.camping-mas-llinas.com;-;-;-;87;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Loisirs;-;CAMPING LA HÈCHE;54 route d'azun;65400;ARRENS-MARSOUS;562970264;laheche@free.fr;campinglaheche.com;-;-;-;166;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Tourisme;-;CAMPING LE MESNIL;6 RUE DES PLATANES;65200;BAGNÈRES-DE-BIGORRE;562910009;camping.lemesnil@orange.fr;http://www.camping-le-mesnil.fr/;-;-;-;48;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Tourisme;-;CAMPING MOTO ROUTE 99;Les Mureteix;63440;SAINT-RÉMY-DE-BLOT;473979255;campingmotoroute99@orange.fr;www.campingmotoroute99.com;-;-;-;45;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Tourisme;-;CAMPING DE LA FRETTE;638 avenue d'auvelais;60700;PONT-SAINTE-MAXENCE;954197116;campingdelafrette@yahoo.fr;http://campingdelafrette.fr/;-;-;-;120;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Loisirs;-;CAMPING LA HOUBLONNIÈRE;1345 route de Bray Dunes;59670;WINNEZEELE;328409306;la.houblonniere@orange.fr;-;-;-;-;80;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING DE LA TENSCH;étangs de la tensch;57660;GROSTENQUIN;387017904;tensch@tensch.com;http://www.tensch.com/;-;-;-;129;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMP DE KERLAN;20 bis rue du Loch;56750;DAMGAN;297411164;dominique.caudal@orange.fr;http://www.vacancesadamgan.sitew.com/;-;-;-;107;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING MUNICIPAL DU KERVER;kerver;56730;SAINT-GILDAS-DE-RHUYS;297452121;contact@saint-gildas-de-rhuys.fr;www.campingdukerver.com;-;-;-;127;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;LE PIED A TERRE;lieu-dit Branzého;56690;LANDAUL;297245270;jimrolland@wanadoo.fr;http://www.lepiedaterre.net;-;-;-;25;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING DU VAL D'OUST;Rue de Saint-Gouvry;56580;ROHAN;297515033;mairie.rohan@wanadoo.fr;http://www.rohan.fr/;-;-;-;45;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING MUNICIPAL SOUS LE MOULIN;4 PLACE DE LA MAIRIE;55100;CHARNY-SUR-MEUSE;329866706;mairie.charny.sur.meuse@wanadoo.fr;http://www.charny-sur-meuse.fr/;-;-;-;128;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING MUNICIPAL LES GRAVELETS;4 RUE DU REY;50590;MONTMARTIN-SUR-MER;233477020;gravelets@wanadoo.fr;-;-;-;-;95;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Loisirs;-;CAMPING LA MELETTE;route de la mer;50560;BLAINVILLE-SUR-MER;233471484;camping.delamelette@orange.fr;http://www.ot-blainvillesurmer.com/;-;-;-;224;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING LOT ET BASTIDES;allée de Malbentre;47300;PUJOLS;553368679;contact@camping-lot-et-bastides.fr;www.camping-lot-et-bastides.fr;-;-;-;88;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Tourisme;-;CAMPING L'ÉTANG DE LA VALLÉE;route de l'étang de la vallée;45530;COMBREUX;238586619;contact@campingdeletangdelavallee.fr;www.campingdeletangdelavallee.fr;-;-;-;130;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Tourisme;-;CAMPING MUNICIPAL LÉTOILE;place éloi guitteny;44680;SAINT-HILAIRE-DE-CHALÉONS;623875607;charlie.chauvet@gmail.com;http://www.saint-hilaire-de-chaleons.fr/;-;-;-;20;-;-
07/06/2013;07/06/2013;CAMPING;3 étoiles;Loisirs;-;CAMPING DES GORGES DE LA LOIRE;Port Buisson;43110;AUREC-SUR-LOIRE;477518148;accueil@camping-aurec.fr;www.camping-aurec.fr;-;-;-;152;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING MUNICIPAL BEAUSOLEIL;BEAUSOLEIL;42310;LA PACAUDIÈRE;477641150;camping.de.beausoleil@orange.fr;http://www.la-pacaudiere.fr;-;-;-;35;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING DES ABESSES;782 Allée du Château;40990;SAINT-PAUL-LÈS-DAX;558916534;camping@thermesadour.com;www.thermes-dax.com;-;-;-;142;-;-
07/06/2013;07/06/2013;CAMPING;2 étoiles;Tourisme;-;CAMPING LE BIVOUAC;route de chalain;39300;PONT-DU-NAVOY;384512695;campinglebivouac-jura@orange.fr;http://www.camping-lebivouac.com/;-;-;-;92;-;-
07/06/2013;07/06/2013;CAMPING;1 étoile;Tourisme;-;LA MAISON DU HAUT;les bordes;39230;SAINT-LOTHAIN;384373108;maisonduhaut@free.fr;www.maisonduhaut.com;-;-;-;19;-;-
